query_generation_method,annealing_time,query_graph,num_relations,problem_index,sample_index,valid_ratio,opt_ratio,first_opt_index
IntLog,100,CHAIN,4,0,7,0.0178,0.0022,196
IntLog,100,CHAIN,4,0,8,0.0133,0.0022,511
IntLog,100,CHAIN,4,0,9,0.0189,0.0033,307
IntLog,100,CHAIN,4,0,10,0.0167,0.0011,667
IntLog,100,CHAIN,4,0,11,0.0156,0.0000,None
IntLog,100,CHAIN,4,0,12,0.0178,0.0000,None
IntLog,100,CHAIN,4,0,13,0.0122,0.0033,134
IntLog,100,CHAIN,4,0,14,0.0144,0.0000,None
IntLog,100,CHAIN,4,0,15,0.0100,0.0022,190
IntLog,100,CHAIN,4,0,16,0.0200,0.0033,617
IntLog,100,CHAIN,4,0,17,0.0189,0.0056,131
IntLog,100,CHAIN,4,0,18,0.0156,0.0011,895
IntLog,100,CHAIN,4,0,19,0.0122,0.0000,None
IntLog,100,CHAIN,5,0,0,0.0000,0.0000,None
IntLog,100,CHAIN,5,0,1,0.0011,0.0000,None
IntLog,100,CHAIN,5,0,2,0.0000,0.0000,None
IntLog,100,CHAIN,5,0,3,0.0011,0.0000,None
IntLog,100,CHAIN,5,0,4,0.0000,0.0000,None
IntLog,100,CHAIN,5,0,5,0.0000,0.0000,None
IntLog,100,CHAIN,5,0,6,0.0033,0.0000,None
IntLog,100,CHAIN,5,0,7,0.0000,0.0000,None
IntLog,100,CHAIN,5,0,8,0.0000,0.0000,None
IntLog,100,CHAIN,5,0,9,0.0011,0.0000,None
IntLog,100,CHAIN,5,0,10,0.0011,0.0000,None
IntLog,100,CHAIN,5,0,11,0.0011,0.0000,None
IntLog,100,CHAIN,5,0,12,0.0000,0.0000,None
IntLog,100,CHAIN,5,0,13,0.0033,0.0000,None
IntLog,100,CHAIN,5,0,14,0.0011,0.0000,None
IntLog,100,CHAIN,5,0,15,0.0000,0.0000,None
IntLog,100,CHAIN,5,0,16,0.0000,0.0000,None
IntLog,100,CHAIN,5,0,17,0.0000,0.0000,None
IntLog,100,CHAIN,5,0,18,0.0000,0.0000,None
IntLog,100,CHAIN,5,0,19,0.0000,0.0000,None
IntLog,1000,CHAIN,3,0,0,0.4122,0.1000,0
IntLog,1000,CHAIN,3,0,1,0.4089,0.0811,2
IntLog,1000,CHAIN,3,0,2,0.4156,0.1033,2
IntLog,1000,CHAIN,3,0,3,0.3700,0.1089,7
IntLog,1000,CHAIN,3,0,4,0.3867,0.1289,9
IntLog,1000,CHAIN,3,0,5,0.3611,0.0778,18
IntLog,1000,CHAIN,3,0,6,0.4256,0.0711,6
IntLog,1000,CHAIN,3,0,7,0.4056,0.1178,0
