annealing_time,query_graph,num_relations,sample_index,valid_ratio,opt_ratio,first_opt_index
7.5,CHAIN,5,9,0.0022,0.0000,None
7.5,CHAIN,5,10,0.0000,0.0000,None
7.5,CHAIN,5,11,0.0011,0.0000,None
7.5,CHAIN,5,12,0.0022,0.0000,None
7.5,CHAIN,5,13,0.0000,0.0000,None
7.5,CHAIN,5,14,0.0000,0.0000,None
7.5,CHAIN,5,15,0.0011,0.0000,None
7.5,CHAIN,5,16,0.0011,0.0000,None
7.5,CHAIN,5,17,0.0011,0.0000,None
7.5,CHAIN,5,18,0.0000,0.0000,None
7.5,CHAIN,5,19,0.0000,0.0000,None
10,CHAIN,3,0,0.3611,0.0889,8
10,CHAIN,3,1,0.3167,0.1011,2
10,CHAIN,3,2,0.3278,0.0856,11
10,CHAIN,3,3,0.3133,0.1144,12
10,CHAIN,3,4,0.3644,0.0756,37
10,CHAIN,3,5,0.3211,0.1022,4
10,CHAIN,3,6,0.2922,0.0822,18
10,CHAIN,3,7,0.3056,0.0733,28
10,CHAIN,3,8,0.2856,0.0700,0
10,CHAIN,3,9,0.2744,0.0867,2
10,CHAIN,3,10,0.2967,0.1167,0
10,CHAIN,3,11,0.3056,0.0844,13
10,CHAIN,3,12,0.2644,0.0767,1
10,CHAIN,3,13,0.3222,0.0722,0
10,CHAIN,3,14,0.3156,0.0733,62
10,CHAIN,3,15,0.3011,0.0978,15
10,CHAIN,3,16,0.3089,0.1011,7
10,CHAIN,3,17,0.3111,0.1022,8
10,CHAIN,3,18,0.3189,0.0811,4
10,CHAIN,3,19,0.2956,0.0533,1
10,CHAIN,4,0,0.0100,0.0011,287
10,CHAIN,4,1,0.0056,0.0000,None
10,CHAIN,4,2,0.0211,0.0000,None
10,CHAIN,4,3,0.0144,0.0011,728
10,CHAIN,4,4,0.0067,0.0000,None
10,CHAIN,4,5,0.0144,0.0022,314
10,CHAIN,4,6,0.0144,0.0011,344
10,CHAIN,4,7,0.0144,0.0022,159
10,CHAIN,4,8,0.0067,0.0011,533
10,CHAIN,4,9,0.0144,0.0000,None
10,CHAIN,4,10,0.0100,0.0011,97
10,CHAIN,4,11,0.0144,0.0000,None
10,CHAIN,4,12,0.0133,0.0000,None
10,CHAIN,4,13,0.0200,0.0000,None
10,CHAIN,4,14,0.0122,0.0000,None
10,CHAIN,4,15,0.0078,0.0022,123
10,CHAIN,4,16,0.0122,0.0011,124
10,CHAIN,4,17,0.0156,0.0000,None
10,CHAIN,4,18,0.0111,0.0000,None
10,CHAIN,4,19,0.0078,0.0011,421
10,CHAIN,5,0,0.0000,0.0000,None
10,CHAIN,5,1,0.0000,0.0000,None
10,CHAIN,5,2,0.0000,0.0000,None
10,CHAIN,5,3,0.0022,0.0000,None
10,CHAIN,5,4,0.0022,0.0000,None
10,CHAIN,5,5,0.0011,0.0000,None
10,CHAIN,5,6,0.0011,0.0000,None
10,CHAIN,5,7,0.0033,0.0000,None
10,CHAIN,5,8,0.0022,0.0000,None
10,CHAIN,5,9,0.0000,0.0000,None
10,CHAIN,5,10,0.0000,0.0000,None
10,CHAIN,5,11,0.0011,0.0000,None
10,CHAIN,5,12,0.0022,0.0000,None
10,CHAIN,5,13,0.0000,0.0000,None
10,CHAIN,5,14,0.0011,0.0000,None
10,CHAIN,5,15,0.0011,0.0000,None
10,CHAIN,5,16,0.0022,0.0000,None
10,CHAIN,5,17,0.0033,0.0000,None
10,CHAIN,5,18,0.0000,0.0000,None
10,CHAIN,5,19,0.0000,0.0000,None
50,CHAIN,3,0,0.3600,0.0644,0
50,CHAIN,3,1,0.3711,0.0767,4
50,CHAIN,3,2,0.3444,0.0756,10
50,CHAIN,3,3,0.3500,0.0800,16
50,CHAIN,3,4,0.3467,0.0811,14
50,CHAIN,3,5,0.3300,0.0944,19
50,CHAIN,3,6,0.3511,0.1078,3
50,CHAIN,3,7,0.3622,0.0778,8
50,CHAIN,3,8,0.3644,0.1122,8
50,CHAIN,3,9,0.3444,0.0678,3
50,CHAIN,3,10,0.3178,0.1167,1
50,CHAIN,3,11,0.3511,0.0978,22
50,CHAIN,3,12,0.3356,0.0767,4
50,CHAIN,3,13,0.3089,0.1100,0
50,CHAIN,3,14,0.3522,0.1000,44
50,CHAIN,3,15,0.3511,0.0944,0
50,CHAIN,3,16,0.3111,0.0733,7
50,CHAIN,3,17,0.3367,0.1178,15
50,CHAIN,3,18,0.3311,0.0733,1
50,CHAIN,3,19,0.3922,0.0867,5
50,CHAIN,4,0,0.0056,0.0022,533
50,CHAIN,4,1,0.0100,0.0022,146
50,CHAIN,4,2,0.0222,0.0022,417
50,CHAIN,4,3,0.0178,0.0022,379
50,CHAIN,4,4,0.0156,0.0011,37
50,CHAIN,4,5,0.0211,0.0011,586
50,CHAIN,4,6,0.0200,0.0011,135
50,CHAIN,4,7,0.0167,0.0011,735
50,CHAIN,4,8,0.0233,0.0022,441
50,CHAIN,4,9,0.0233,0.0033,56
50,CHAIN,4,10,0.0200,0.0022,191
50,CHAIN,4,11,0.0244,0.0022,109
50,CHAIN,4,12,0.0144,0.0011,718
50,CHAIN,4,13,0.0211,0.0011,814
50,CHAIN,4,14,0.0233,0.0033,446
50,CHAIN,4,15,0.0222,0.0011,394
50,CHAIN,4,16,0.0222,0.0000,None
50,CHAIN,4,17,0.0167,0.0022,411
50,CHAIN,4,18,0.0100,0.0000,None
50,CHAIN,4,19,0.0144,0.0022,609
50,CHAIN,5,0,0.0000,0.0000,None
50,CHAIN,5,1,0.0022,0.0000,None
50,CHAIN,5,2,0.0011,0.0000,None
50,CHAIN,5,3,0.0022,0.0000,None
50,CHAIN,5,4,0.0022,0.0000,None
50,CHAIN,5,5,0.0000,0.0000,None
50,CHAIN,5,6,0.0022,0.0000,None
50,CHAIN,5,7,0.0011,0.0000,None
50,CHAIN,5,8,0.0022,0.0000,None
50,CHAIN,5,9,0.0011,0.0000,None
50,CHAIN,5,10,0.0000,0.0000,None
50,CHAIN,5,11,0.0011,0.0000,None
50,CHAIN,5,12,0.0000,0.0000,None
50,CHAIN,5,13,0.0022,0.0000,None
50,CHAIN,5,14,0.0011,0.0000,None
50,CHAIN,5,15,0.0011,0.0000,None
50,CHAIN,5,16,0.0022,0.0011,169
50,CHAIN,5,17,0.0011,0.0000,None
50,CHAIN,5,18,0.0011,0.0000,None
50,CHAIN,5,19,0.0011,0.0000,None
100,CHAIN,3,0,0.3933,0.0933,7
100,CHAIN,3,1,0.3400,0.0900,4
100,CHAIN,3,2,0.3533,0.0611,42
100,CHAIN,3,3,0.3456,0.1022,0
100,CHAIN,3,4,0.3767,0.0844,15
100,CHAIN,3,5,0.3844,0.0989,5
100,CHAIN,3,6,0.3589,0.0978,7
100,CHAIN,3,7,0.3867,0.0967,7
100,CHAIN,3,8,0.3489,0.0833,21
100,CHAIN,3,9,0.3544,0.0733,22
100,CHAIN,3,10,0.3233,0.1100,4
100,CHAIN,3,11,0.3778,0.0967,0
100,CHAIN,3,12,0.3889,0.0611,11
100,CHAIN,3,13,0.3611,0.0967,3
100,CHAIN,3,14,0.3911,0.0722,19
100,CHAIN,3,15,0.3956,0.0778,27
100,CHAIN,3,16,0.3633,0.0611,3
100,CHAIN,3,17,0.3400,0.0756,39
100,CHAIN,3,18,0.3967,0.0611,2
100,CHAIN,3,19,0.4222,0.0511,7
100,CHAIN,4,0,0.0133,0.0022,669
100,CHAIN,4,1,0.0133,0.0022,24
100,CHAIN,4,2,0.0156,0.0033,48
100,CHAIN,4,3,0.0133,0.0000,None
100,CHAIN,4,4,0.0167,0.0022,689
100,CHAIN,4,5,0.0144,0.0022,184
100,CHAIN,4,6,0.0167,0.0011,763
100,CHAIN,4,7,0.0178,0.0022,196
100,CHAIN,4,8,0.0133,0.0022,511
100,CHAIN,4,9,0.0189,0.0033,307
100,CHAIN,4,10,0.0167,0.0011,667
100,CHAIN,4,11,0.0156,0.0000,None
100,CHAIN,4,12,0.0178,0.0000,None
100,CHAIN,4,13,0.0122,0.0033,134
100,CHAIN,4,14,0.0144,0.0000,None
100,CHAIN,4,15,0.0100,0.0022,190
100,CHAIN,4,16,0.0200,0.0033,617
100,CHAIN,4,17,0.0189,0.0056,131
100,CHAIN,4,18,0.0156,0.0011,895
100,CHAIN,4,19,0.0122,0.0000,None
100,CHAIN,5,0,0.0000,0.0000,None
100,CHAIN,5,1,0.0011,0.0000,None
100,CHAIN,5,2,0.0000,0.0000,None
100,CHAIN,5,3,0.0011,0.0000,None
100,CHAIN,5,4,0.0000,0.0000,None
100,CHAIN,5,5,0.0000,0.0000,None
100,CHAIN,5,6,0.0033,0.0000,None
100,CHAIN,5,7,0.0000,0.0000,None
100,CHAIN,5,8,0.0000,0.0000,None
100,CHAIN,5,9,0.0011,0.0000,None
100,CHAIN,5,10,0.0011,0.0000,None
100,CHAIN,5,11,0.0011,0.0000,None
100,CHAIN,5,12,0.0000,0.0000,None
100,CHAIN,5,13,0.0033,0.0000,None
100,CHAIN,5,14,0.0011,0.0000,None
100,CHAIN,5,15,0.0000,0.0000,None
100,CHAIN,5,16,0.0000,0.0000,None
100,CHAIN,5,17,0.0000,0.0000,None
100,CHAIN,5,18,0.0000,0.0000,None
100,CHAIN,5,19,0.0000,0.0000,None
150,CHAIN,3,0,0.3889,0.0733,6
150,CHAIN,3,1,0.4111,0.1133,1
150,CHAIN,3,2,0.3767,0.1289,6
150,CHAIN,3,3,0.3367,0.0700,33
150,CHAIN,3,4,0.3844,0.1022,13
150,CHAIN,3,5,0.3700,0.1022,1
150,CHAIN,3,6,0.3222,0.0844,0
150,CHAIN,3,7,0.3678,0.0856,9
150,CHAIN,3,8,0.3556,0.0967,40
150,CHAIN,3,9,0.3711,0.1100,5
150,CHAIN,3,10,0.3422,0.0589,24
150,CHAIN,3,11,0.3756,0.0767,1
150,CHAIN,3,12,0.3900,0.0700,9
150,CHAIN,3,13,0.3978,0.0922,17
150,CHAIN,3,14,0.3811,0.1044,1
150,CHAIN,3,15,0.3867,0.0544,12
150,CHAIN,3,16,0.3778,0.1156,9
150,CHAIN,3,17,0.3900,0.0722,20
150,CHAIN,3,18,0.4011,0.0889,2
150,CHAIN,3,19,0.4078,0.0989,12
150,CHAIN,4,0,0.0222,0.0033,96
150,CHAIN,4,1,0.0144,0.0022,182
150,CHAIN,4,2,0.0156,0.0022,506
150,CHAIN,4,3,0.0244,0.0089,19
150,CHAIN,4,4,0.0167,0.0033,384
150,CHAIN,4,5,0.0211,0.0011,397
150,CHAIN,4,6,0.0122,0.0022,290
150,CHAIN,4,7,0.0378,0.0011,605
150,CHAIN,4,8,0.0211,0.0022,199
150,CHAIN,4,9,0.0156,0.0022,140
150,CHAIN,4,10,0.0189,0.0011,623
150,CHAIN,4,11,0.0178,0.0011,348
150,CHAIN,4,12,0.0167,0.0033,387
150,CHAIN,4,13,0.0167,0.0022,38
150,CHAIN,4,14,0.0267,0.0000,None
150,CHAIN,4,15,0.0111,0.0000,None
150,CHAIN,4,16,0.0156,0.0022,501
150,CHAIN,4,17,0.0189,0.0000,None
150,CHAIN,4,18,0.0200,0.0033,203
150,CHAIN,4,19,0.0233,0.0000,None
150,CHAIN,5,0,0.0000,0.0000,None
150,CHAIN,5,1,0.0011,0.0000,None
150,CHAIN,5,2,0.0000,0.0000,None
150,CHAIN,5,3,0.0022,0.0000,None
150,CHAIN,5,4,0.0011,0.0000,None
150,CHAIN,5,5,0.0000,0.0000,None
150,CHAIN,5,6,0.0022,0.0000,None
150,CHAIN,5,7,0.0022,0.0000,None
150,CHAIN,5,8,0.0011,0.0000,None
150,CHAIN,5,9,0.0011,0.0000,None
150,CHAIN,5,10,0.0022,0.0000,None
150,CHAIN,5,11,0.0011,0.0000,None
150,CHAIN,5,12,0.0000,0.0000,None
150,CHAIN,5,13,0.0011,0.0000,None
150,CHAIN,5,14,0.0000,0.0000,None
150,CHAIN,5,15,0.0011,0.0000,None
150,CHAIN,5,16,0.0011,0.0000,None
150,CHAIN,5,17,0.0011,0.0000,None
150,CHAIN,5,18,0.0000,0.0000,None
150,CHAIN,5,19,0.0000,0.0000,None
200,CHAIN,3,0,0.3911,0.0911,18
200,CHAIN,3,1,0.3644,0.1156,3
200,CHAIN,3,2,0.3811,0.1033,6
200,CHAIN,3,3,0.3789,0.0867,7
200,CHAIN,3,4,0.3922,0.0700,19
200,CHAIN,3,5,0.3967,0.0978,1
200,CHAIN,3,6,0.3989,0.1267,9
200,CHAIN,3,7,0.4056,0.1067,7
200,CHAIN,3,8,0.3700,0.1156,0
200,CHAIN,3,9,0.3756,0.1344,4
200,CHAIN,3,10,0.4033,0.1189,27
200,CHAIN,3,11,0.3722,0.1078,1
200,CHAIN,3,12,0.3578,0.1000,1
200,CHAIN,3,13,0.3544,0.0978,8
200,CHAIN,3,14,0.3478,0.1044,22
200,CHAIN,3,15,0.3500,0.0944,2
200,CHAIN,3,16,0.3800,0.0889,4
200,CHAIN,3,17,0.3522,0.0678,5
200,CHAIN,3,18,0.3822,0.0889,5
200,CHAIN,3,19,0.3567,0.0722,8
200,CHAIN,4,0,0.0233,0.0033,194
200,CHAIN,4,1,0.0222,0.0033,120
200,CHAIN,4,2,0.0100,0.0000,None
200,CHAIN,4,3,0.0267,0.0044,24
200,CHAIN,4,4,0.0156,0.0011,895
200,CHAIN,4,5,0.0222,0.0044,506
200,CHAIN,4,6,0.0211,0.0011,710
200,CHAIN,4,7,0.0111,0.0011,533
200,CHAIN,4,8,0.0233,0.0033,79
200,CHAIN,4,9,0.0233,0.0022,286
200,CHAIN,4,10,0.0244,0.0044,129
200,CHAIN,4,11,0.0222,0.0022,813
200,CHAIN,4,12,0.0156,0.0033,140
200,CHAIN,4,13,0.0189,0.0022,360
200,CHAIN,4,14,0.0200,0.0044,66
200,CHAIN,4,15,0.0244,0.0056,322
200,CHAIN,4,16,0.0167,0.0033,213
200,CHAIN,4,17,0.0189,0.0011,687
200,CHAIN,4,18,0.0122,0.0033,151
200,CHAIN,4,19,0.0189,0.0033,92
200,CHAIN,5,0,0.0033,0.0000,None
200,CHAIN,5,1,0.0000,0.0000,None
200,CHAIN,5,2,0.0011,0.0000,None
200,CHAIN,5,3,0.0000,0.0000,None
200,CHAIN,5,4,0.0033,0.0000,None
200,CHAIN,5,5,0.0033,0.0000,None
200,CHAIN,5,6,0.0011,0.0000,None
200,CHAIN,5,7,0.0011,0.0000,None
200,CHAIN,5,8,0.0022,0.0000,None
200,CHAIN,5,9,0.0000,0.0000,None
200,CHAIN,5,10,0.0011,0.0000,None
200,CHAIN,5,11,0.0011,0.0000,None
200,CHAIN,5,12,0.0000,0.0000,None
200,CHAIN,5,13,0.0000,0.0000,None
200,CHAIN,5,14,0.0011,0.0000,None
200,CHAIN,5,15,0.0000,0.0000,None
200,CHAIN,5,16,0.0044,0.0000,None
200,CHAIN,5,17,0.0011,0.0000,None
200,CHAIN,5,18,0.0022,0.0000,None
200,CHAIN,5,19,0.0000,0.0000,None
250,CHAIN,3,0,0.4444,0.1422,0
250,CHAIN,3,1,0.4144,0.1144,4
250,CHAIN,3,2,0.4400,0.1722,3
250,CHAIN,3,3,0.3611,0.1178,0
250,CHAIN,3,4,0.4167,0.0889,5
250,CHAIN,3,5,0.4478,0.1011,0
250,CHAIN,3,6,0.3822,0.1311,4
250,CHAIN,3,7,0.4056,0.1078,4
250,CHAIN,3,8,0.3722,0.1056,2
250,CHAIN,3,9,0.3489,0.0778,5
250,CHAIN,3,10,0.4100,0.1256,0
250,CHAIN,3,11,0.3933,0.0933,91
250,CHAIN,3,12,0.3978,0.1244,7
250,CHAIN,3,13,0.3322,0.1022,8
250,CHAIN,3,14,0.3211,0.1311,7
250,CHAIN,3,15,0.3444,0.0878,8
250,CHAIN,3,16,0.4111,0.1067,14
250,CHAIN,3,17,0.4000,0.0800,10
250,CHAIN,3,18,0.4100,0.0767,19
250,CHAIN,3,19,0.3633,0.1044,5
250,CHAIN,4,0,0.0300,0.0067,262
250,CHAIN,4,1,0.0278,0.0067,40
250,CHAIN,4,2,0.0289,0.0033,42
250,CHAIN,4,3,0.0156,0.0011,608
