vendor,optimizer,opt_level,query_graph_type,density,gateset,num_relations,sample_index,depth
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,8,1267
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,9,1544
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,10,1500
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,11,1115
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,12,1296
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,13,1409
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,14,1215
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,15,1215
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,16,1500
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,17,1425
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,18,1409
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,19,1512
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,0,2357
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,1,3437
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,2,3121
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,3,3376
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,4,2568
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,5,2357
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,6,2357
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,7,2591
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,8,2945
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,9,3385
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,10,3034
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,11,3185
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,12,2141
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,13,2331
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,14,3043
